31,78,31,77,44,6a,50,6e,4f,6b,48,6f,3b,70,49,74
48,6f,2f,72,33,6b,55,72,44,64,4b,71,43,67,54,72
23,7b,2e,79,4f,70,4d,75,46,74,3e,74,3d,74,3c,76
2d,78,2f,79,2e,77,33,77,36,77,3a,74,59,70,5b,6e
3b,79,44,73,3c,7f,2e,76,39,7e,2a,7d,24,78,1e,7b
19,7f,1a,7f,21,7f,31,7f,35,7d,32,7d,2c,7c,21,7d
20,7e,22,7e,21,7e,22,7e,22,7e,27,7e,24,7d,21,7c
21,7d,24,7c,2b,77,3b,77,37,72,46,76,42,77,3d,7c
2f,76,3d,7b,2a,79,2a,7a,4c,68,5d,74,50,6a,51,73
4e,6d,40,72,48,6e,45,74,3d,73,35,77,29,7b,28,7b
28,7e,2d,7b,32,7a,36,7a,39,75,33,76,55,6e,3e,72
36,70,47,72,3f,6e,50,73,36,6c,4f,73,51,71,32,73
2f,79,2e,78,37,74,60,6f,57,72,57,6b,57,6d,52,6d
4b,68,38,70,32,76,34,78,30,79,2c,79,2e,7a,61,73
5d,7b,61,68,60,77,38,6e,3c,75,3b,77,3c,79,2a,73
2e,74,45,72,51,6e,4a,70,5d,6c,2a,79,4a,6e,4c,78
4d,6c,48,6d,45,6e,4a,6e,43,73,35,70,4c,6e,46,6f
68,64,51,74,56,66,60,6e,70,67,6e,6c,6f,6a,ff8f,67
24,7e,25,7d,20,7f,1e,7e,1e,ff81,2a,7c,60,7d,2e,77
33,7b,31,7b,37,7b,2b,7a,25,7e,20,7d,26,7e,2a,7c
38,78,44,76,40,75,39,75,29,7d,22,7c,27,7b,3e,79
5b,6d,4e,6d,4f,73,48,6f,47,72,5a,6e,52,68,4a,6b
3c,6e,3f,70,3c,70,3f,71,43,70,44,71,47,6d,4c,70
34,74,37,73,35,6f,3f,73,2a,73,45,77,2b,72,32,74
21,7d,2d,7b,2d,74,3b,73,42,73,43,72,3b,78,29,78
28,79,2e,7a,37,76,3a,76,30,78,2c,77,38,72,43,74
42,7e,3e,77,45,ff80,37,79,38,7d,28,7d,23,7e,1f,7f
1b,ff80,1a,7f,1b,7e,1f,7e,22,7d,21,7c,21,7c,37,ff82
29,7e,21,7e,20,7e,20,7e,27,7d,2e,7c,23,7d,21,7c
2a,79,43,79,37,75,28,78,37,70,3b,73,36,79,35,7b
35,7c,35,7e,3d,71,46,77,43,6f,43,74,57,68,3f,74
2a,7b,29,7c,27,7c,2f,7b,2e,74,3b,76,3c,68,4e,73
41,73,42,76,4d,74,43,78,46,6b,49,74,51,63,62,70
4c,70,39,75,4a,6b,3e,73,35,73,32,74,32,75,3d,76
3f,70,41,73,41,6f,50,6f,56,6f,54,6b,50,6e,3d,6c
66,75,6b,69,60,71,59,6d,58,77,5a,6c,56,79,62,6a
5e,78,5d,6a,5a,72,4e,6c,54,70,41,72,25,7a,27,7b
2d,78,32,79,36,75,3a,76,58,6a,56,79,29,72,55,75
50,6c,53,6d,3b,78,22,73,21,7d,23,7d,3e,72,5a,78
40,6f,78,73,58,67,40,73,5a,5c,51,75,4e,5d,48,73
2b,7e,2a,7b,26,7e,2b,7b,31,ff85,4a,74,41,ff80,2c,7f
28,7e,2b,7e,2c,78,34,78,3f,75,3a,75,27,79,29,7a
1c,7b,2d,7b,26,7c,27,7a,33,7b,3c,79,49,74,46,72
4a,70,56,74,45,70,45,72,4d,6e,4d,6e,4e,70,3b,70
31,77,33,77,36,74,35,75,30,74,35,75,32,70,43,72
54,70,3b,70,40,72,41,73,38,70,3e,75,3d,6a,59,73
2d,7a,22,7a,24,7d,29,7a,2c,7a,35,78,3a,7a,30,78
2c,76,3a,78,51,6a,3a,73,40,75,38,74,3b,74,3f,74
57,6e,48,73,2b,7d,31,7b,33,7b,2f,7c,3f,79,2c,7c
19,7e,1b,7e,20,ff82,56,7d,5b,ff87,40,77,33,ff81,2f,ff81
32,7e,30,7d,28,7d,2e,7c,30,7b,37,7b,42,71,3f,74
32,7a,2e,79,35,7b,31,79,29,7c,2c,7b,32,7b,2d,7b
32,7b,2c,7b,3e,70,46,74,42,6d,3e,72,41,6a,51,74
45,6b,75,76,3f,77,23,7c,21,7c,21,7c,2d,78,34,78
46,73,37,77,2c,79,3c,79,32,74,3d,77,3e,6e,47,73
40,77,3b,78,3d,75,49,71,44,75,45,71,3f,76,2e,74
24,78,23,78,27,79,23,78,37,72,50,71,51,6e,44,6e
5a,ff8a,ff8a,72,2a,7a,3b,71,5b,6f,5b,6d,56,73,47,6c
ff83,72,58,71,48,71,38,70,2e,79,28,79,30,78,2b,7b
26,7c,27,7b,30,7a,2f,76,4d,6f,5a,71,55,6e,38,73
3f,70,3b,79,2d,7c,27,7b,24,7c,23,7c,43,6d,43,76
46,69,44,76,41,68,40,75,45,6b,51,77,52,6d,59,7d
27,7e,32,7d,31,7d,2c,7b,38,7e,2e,7d,32,7f,2c,7f
2a,7f,29,7d,2d,7f,2c,7d,2e,ff80,2c,7e,24,7f,21,7f
1d,7e,23,7f,1f,7e,22,7e,27,7b,2e,79,2a,77,4f,73
4b,6f,4b,6e,51,6a,44,6e,2d,72,3a,74,4b,6d,37,73
27,7c,26,7a,3b,71,34,75,26,77,34,78,28,76,3a,77
3b,72,38,72,47,73,2a,75,2a,73,47,79,45,6e,31,76
3e,78,23,79,26,7d,28,7c,2a,7b,32,7a,38,77,2c,79
2d,75,3c,75,3b,76,2d,76,21,7a,2a,7a,32,74,3e,75
40,6e,37,74,2b,7c,2a,7a,28,78,3e,79,39,78,35,75
35,77,37,75,34,7e,32,7c,30,7e,32,79,35,7d,33,7c
36,7b,2e,7a,2f,7b,2e,7a,34,76,42,76,42,73,37,74
2c,7c,2e,7b,34,7d,33,7b,36,7b,35,7c,2e,76,3a,77
43,6b,44,72,38,74,36,76,3e,72,4a,75,4f,68,47,72
3c,71,3b,75,23,7d,25,7d,25,7e,20,7d,26,7e,27,7e
2c,75,40,79,34,7b,36,79,41,6f,4a,73,4b,6c,38,70
3b,78,27,77,22,7e,1b,7d,1d,7d,2a,79,40,76,43,71
45,72,47,6f,45,73,4d,70,50,72,5f,6e,6a,74,68,6c
63,72,5c,6f,53,6c,52,74,58,67,57,70,53,6b,54,6e
64,6c,62,70,49,71,47,71,60,6a,69,6e,5e,66,59,6d
54,67,53,6d,52,6d,43,73,3a,70,54,75,5a,61,68,70
63,69,55,6f,51,6f,53,70,54,6f,54,6e,4f,6b,49,70
47,6b,45,77,35,74,2c,79,32,73,45,7a,51,6c,29,79
1c,7e,27,7e,36,7b,39,7c,33,7e,2e,7d,30,ff80,2f,ff80
2b,7f,29,7e,2b,7e,2f,7c,26,ff80,27,7d,30,ff82,31,7b
21,7f,20,7f,24,7e,24,7f,2e,7d,2c,7e,46,76,47,72
3d,71,3e,73,44,6b,48,71,49,72,39,75,33,70,41,76
26,7b,2b,79,2e,75,38,77,2a,76,42,77,51,68,52,71
44,6f,3c,71,2e,72,32,75,36,75,29,76,29,7c,28,7b
43,6a,40,75,2e,79,33,77,32,75,2c,75,2c,77,2c,77
2b,7c,29,7a,32,7a,1d,7a,22,7c,23,7c,3f,6c,51,73
47,75,2c,76,2a,7d,25,7d,2f,7b,30,7b,2d,77,38,78
3d,7a,2c,77,2b,7e,32,7d,36,7f,2d,7c,32,7c,34,7b
2d,7a,39,78,44,74,3a,73,24,7e,28,7c,31,7d,2b,7a
2c,7c,39,7a,4d,77,40,78,34,79,38,78,53,6c,43,73
28,78,3d,7a,3f,77,3c,7c,38,74,3f,77,33,74,3b,78
43,7b,3a,79,28,7d,26,7d,2e,7c,33,7d,2c,7d,24,7d
33,78,29,7a,31,7a,29,7a,24,7d,21,7d,2e,7b,2e,79
2b,7c,33,7a,42,7e,21,7b,23,7f,21,7e,30,ff80,3a,7d
20,7e,1e,7d,1f,7a,3a,79,3a,72,36,73,34,74,59,77
32,71,60,74,65,6c,5e,6d,5b,65,56,6e,3c,70,41,70
43,76,3e,74,3d,6e,41,75,3a,75,32,74,2f,76,32,74
36,71,3a,70,3a,72,42,73,43,75,45,79,5a,68,40,78
39,6b,58,71,64,65,50,6f,5c,68,69,69,6a,6a,62,6c
56,6e,39,72,28,7b,2f,7b,38,70,6f,7a,48,6f,49,76
26,7f,1b,7f,1a,7c,36,ff81,3b,79,37,7d,38,78,3f,78
38,7c,32,79,29,7d,2d,7b,23,7f,24,7f,2d,ff80,22,7e
21,7c,31,7e,4c,73,45,72,48,75,42,6e,3f,78,38,72
3c,77,40,73,4c,6f,44,6f,3f,6a,3c,71,46,6d,37,75
29,7b,1c,7b,20,7b,2c,7c,31,77,2b,79,44,74,39,75
26,7b,2a,7b,33,6c,42,74,38,77,26,78,26,7c,28,7b
3e,67,5c,74,2a,7a,21,7a,29,7c,2b,7a,24,7b,1c,7b
1c,7e,1c,7e,21,7e,25,7c,27,7a,2d,79,3a,6c,4b,72
3f,74,41,74,2c,7e,1b,7c,1d,7e,1e,7e,1d,7e,24,7d
2e,7d,36,7f,3c,7f,33,7d,34,ff80,36,7f,3a,7a,34,79
2f,7b,3c,77,38,79,2b,77,29,7e,28,7c,3f,7e,48,78
2c,7b,30,7b,60,6d,65,79,51,72,49,74,3d,79,34,78
34,79,38,7d,42,71,4b,75,36,70,49,75,3a,76,2c,78
37,6f,4b,75,48,75,2c,76,2b,79,40,7a,38,78,3b,79
2d,77,3e,78,3b,78,37,74,33,7a,36,76,41,79,35,78
2e,7c,28,7a,43,ff80,23,7a,1e,7f,1e,7e,1b,7e,22,7d
2e,7b,2b,7a,26,7c,2f,7b,35,74,32,77,32,77,33,78
33,78,36,79,32,78,30,78,34,7b,32,77,3f,7b,42,73
33,7b,2a,75,34,79,34,77,40,70,3a,77,37,73,40,76
40,72,37,76,3c,7b,3e,74,43,68,6b,6f,61,64,5a,6e
32,77,41,74,3a,71,45,77,3c,73,46,78,3a,70,38,75
39,73,3c,75,43,73,42,72,5b,69,5f,77,55,76,57,6e
22,7f,1e,7f,1c,7d,2e,7d,43,77,4c,74,53,6d,50,70
40,76,3f,75,5e,73,4b,74,29,7e,29,7d,22,7e,1f,7e
22,7c,2e,7b,36,78,2a,77,32,79,38,77,2f,7b,22,78
43,70,55,70,49,75,38,71,40,79,27,77,2d,6f,43,75
4d,6e,3e,72,50,6c,5b,70,50,6e,38,70,1f,7b,18,7b
28,7b,29,7b,28,7a,2f,7a,39,78,1a,7a,21,7a,30,7a
3d,6b,45,71,31,7b,19,7b,18,7e,1b,7e,19,7e,20,7e
24,7d,1d,7c,1f,7c,2e,7b,40,6e,44,76,3d,6c,3c,72
45,75,40,74,27,7e,22,7f,27,7e,2f,7d,34,7b,2e,7a
2e,7d,34,7b,3e,7c,39,79,3c,ff80,3c,78,42,72,41,73
3b,71,44,73,4f,7f,4d,74,36,ff81,23,7b,25,7e,25,7e
33,7a,4f,7f,50,6a,53,70,41,6e,49,74,34,79,37,7b
35,78,37,7b,2d,78,3e,77,4f,72,28,78,26,7c,2e,7b
30,79,31,79,31,7b,2c,79,3e,70,42,72,3c,76,36,75
40,73,4c,71,51,71,56,6e,5f,6f,42,72,3c,76,33,76
2c,7c,2a,7a,26,7e,26,7d,22,7e,23,7d,21,7d,1f,7d
1e,7e,1d,7e,1c,7f,1d,7d,30,76,35,79,34,74,34,77
34,78,2b,78,32,79,37,79,32,7a,32,77,41,71,49,75
47,6c,45,73,41,72,35,76,3f,74,42,77,4e,6f,36,77
37,77,36,76,34,78,32,76,39,79,3e,76,3e,70,3e,71
38,71,36,77,42,6d,50,72,53,68,59,6e,60,66,5e,6d
54,6b,43,70,39,72,3f,74,7b,64,53,7a,5c,6b,5c,6d
24,7e,20,7e,1c,7d,2b,7c,3b,79,2f,73,45,74,48,70
30,76,39,74,48,73,35,72,2a,7d,2b,7a,25,7d,24,7c
3d,76,46,74,3b,79,46,75,30,7b,23,77,2b,7b,3e,77
39,78,2f,75,33,79,32,74,2f,7c,20,78,2c,70,46,77
54,66,4e,70,3c,78,28,7a,26,7d,1d,7c,1e,7d,27,7c
3e,6f,3d,72,2b,77,1a,78,1f,76,39,78,48,6c,4b,74
66,63,5d,71,3d,76,19,77,1c,7e,22,7d,1d,7e,24,7c
2b,7b,2f,79,32,79,32,77,27,7b,20,7a,29,7b,34,7a
41,76,3f,74,2d,7d,27,7b,21,7e,21,7e,27,7c,29,7b
2a,7d,2a,79,27,7e,2b,7c,28,7d,24,7e,23,7f,2f,7c
40,ff81,2a,7a,31,7f,29,7c,36,7f,45,ff80,44,ff80,51,ff81
43,7c,2e,7c,33,74,3e,77,4a,6d,43,76,3c,78,3a,7a
39,77,38,76,3e,74,37,75,48,6f,4a,74,4d,75,28,79
33,7b,2f,79,39,79,37,78,3a,75,37,76,46,6c,49,74
55,6a,61,71,4f,76,54,74,46,76,32,76,31,7b,2f,79
2d,7c,2c,7a,29,7d,27,7c,26,7e,27,7e,24,7e,20,7d
1f,7e,20,7e,22,7e,24,7c,25,7b,2d,7b,34,75,34,77
36,76,35,77,29,7a,38,78,37,77,36,76,2d,7a,30,7a
5f,69,5f,6e,4f,68,4e,6e,51,6a,51,6f,59,67,4b,71
45,74,23,7c,2e,7c,2f,7a,2f,7c,2e,79,2e,78,3a,7a
54,6c,64,75,5f,64,5d,6e,5c,62,55,70,50,6c,48,71
42,6c,3d,71,4d,70,4f,7c,58,68,62,77,65,69,63,6e
44,70,52,73,48,72,4d,6f,49,75,44,6f,45,75,44,6f
43,74,3e,71,4a,6e,4b,72,42,74,37,72,37,75,38,73
3d,77,3a,74,3c,78,2f,75,2d,7b,2f,79,4f,78,3a,71
2c,7b,43,75,3d,7a,31,75,40,79,37,76,3a,75,2f,77
44,6c,3f,74,36,6b,43,74,50,6e,4a,73,22,7b,21,7a
1f,7d,22,7c,27,7b,33,7a,36,77,37,76,32,7a,29,78
2c,7d,1c,7c,1a,7f,1a,7e,1c,7e,1c,7e,20,7d,27,7c
29,7a,2c,79,27,7d,20,7c,25,7c,2f,7a,33,7b,34,79
3d,79,2e,75,23,7e,1f,7c,20,7f,25,7d,23,7e,2b,7c
28,7e,28,7c,34,7b,3d,7a,38,7d,29,7c,2b,7f,2e,7e
64,ff85,6f,7c,6a,ff84,6b,ff80,6a,7d,62,7b,54,6f,49,70
37,7c,33,7a,27,7e,22,7f,30,79,40,7e,39,77,35,7e
26,7a,27,7b,2f,7a,2f,7a,35,7b,39,7a,43,77,4b,77
29,7d,2b,7d,33,7a,37,79,37,78,31,79,46,72,46,73
48,6d,49,72,37,77,34,74,35,7b,35,78,34,7d,32,79
31,7d,2e,7a,26,7e,26,7c,26,7d,21,7c,24,7d,27,7c
2b,7c,27,7c,26,7d,2e,7d,25,7d,27,7c,29,7a,30,7a
36,77,35,77,25,7a,37,79,37,78,34,76,22,7b,27,7b
38,77,37,78,5c,67,5d,6e,60,69,5c,6c,54,66,5d,6e
56,65,4b,72,4d,70,40,75,3f,79,29,77,26,7c,38,7c
45,6e,3a,76,32,6f,3e,74,53,67,5f,71,63,64,5b,70
56,68,45,71,3f,72,58,ff81,54,70,5e,ff82,62,62,62,75
25,6e,5b,76,48,6c,43,6e,56,6c,54,6c,5a,69,5c,6c
31,72,3a,73,33,79,2f,75,2d,7b,2f,7a,2d,7b,2f,79
28,7a,36,77,3f,78,38,74,31,7a,3c,74,37,77,3c,74
38,79,42,72,44,78,34,73,2d,77,39,77,3f,6c,40,72
33,72,34,76,37,72,32,77,3b,70,3d,74,21,7c,2d,7a
29,7c,32,7a,2f,7b,2e,78,3d,73,44,72,36,77,35,77
40,75,21,77,1e,7e,27,7c,2a,7b,31,7a,30,74,3e,76
26,7d,24,7a,2c,7a,33,78,3b,77,3a,74,32,7c,2f,79
30,7f,2a,7d,29,7d,29,7b,25,7d,34,7a,2e,7c,27,7a
29,79,44,77,48,70,4e,70,4e,70,4e,6f,44,74,48,70
4b,74,4a,70,4c,74,44,72,42,72,44,72,3b,74,3c,75
4c,72,4c,75,3d,7a,2a,7c,24,7d,32,7c,37,7d,2e,7d
3a,7f,2b,ff80,23,7f,23,7d,2c,79,3b,7a,42,7c,3b,ff82
36,7d,32,7e,2e,7e,2d,7c,3f,7f,3d,7e,39,7d,3b,7b
3b,7b,44,77,46,7b,2c,77,26,7f,26,7e,25,7f,22,7e
22,7f,22,7e,29,7e,2a,7c,2a,7d,26,7c,24,7e,24,7d
26,7d,28,7b,2f,7b,30,79,31,7a,32,78,33,7b,30,79
2e,7b,2b,79,43,78,36,7a,32,7a,33,79,38,78,37,78
39,75,44,78,55,6a,6a,71,65,66,56,6d,3e,6f,42,72
47,6a,58,71,2b,74,44,79,3b,76,29,7a,2b,79,35,7a
33,72,47,78,4d,6a,50,79,4e,66,76,75,75,62,6f,6d
6a,5f,63,6f,5d,61,57,71,61,67,65,73,63,63,60,71
45,74,36,72,36,71,49,70,41,73,46,6f,54,72,57,6c
62,73,2e,74,3f,76,4a,75,21,7d,21,7c,22,7d,24,7b
2c,7b,37,77,34,7b,27,78,43,75,4c,70,42,71,55,71
42,70,33,71,34,75,37,74,43,75,3f,72,27,78,40,7b
41,6d,40,74,32,78,31,77,35,79,28,79,1f,7d,21,7c
2c,7d,1e,7c,1d,7d,22,7c,21,7c,1f,7b,2b,7b,22,7b
20,7b,26,7c,3c,71,49,74,4e,6e,47,73,2f,79,26,79
2a,74,49,77,51,73,37,74,41,79,30,75,2a,7b,2e,79
37,7b,26,7a,27,7e,27,7c,2d,78,3c,78,3e,75,40,74
3e,76,37,76,3d,77,28,78,3a,79,31,7a,43,72,4b,72
55,75,59,70,57,73,56,79,5c,72,58,71,53,6a,54,6e
4e,6c,45,71,43,6e,48,75,32,79,43,78,39,7b,28,7b
29,7f,37,7f,2a,7e,28,7c,26,7e,2b,7c,40,7a,3a,7a
39,7d,2c,7b,27,7e,2e,7c,31,7d,34,7b,3a,7d,3f,7b
ff91,ff8c,ffdb,ff91,ffd6,ff8c,ffcf,ff88,ffb5,ff95,ffaa,ff8b,4e,ff86,3c,ff86
31,ff82,29,ff80,28,7e,31,7b,2f,7d,2b,7a,26,7e,20,7d
43,7c,42,76,3d,77,3a,75,39,77,38,75,38,78,35,75
33,78,39,76,3b,75,3c,74,38,79,2c,77,25,76,62,79
6a,5f,66,6d,64,5f,61,6e,60,60,5f,70,5e,63,5b,6f
59,6d,5b,74,58,6f,52,7c,5f,5d,62,6f,64,58,68,6d
6a,5e,62,72,4e,6b,50,78,56,67,55,77,59,64,5e,6e
78,64,73,6c,6a,69,32,71,28,7b,2e,7a,5c,67,47,71
36,7b,2c,79,49,70,40,70,35,76,36,74,31,77,3b,76
38,78,2c,78,23,7b,26,7a,23,7e,26,7c,24,7d,21,7d
1f,7d,22,7c,26,7c,34,79,41,75,46,71,33,74,42,73
35,78,33,75,2b,7b,2c,7a,3d,6f,62,72,54,6e,49,71
45,73,2e,76,38,73,39,75,21,7e,16,7d,19,7d,1a,7d
18,7e,1e,7d,1e,7e,26,7b,39,75,41,74,3d,71,3e,74
34,72,2e,76,38,6a,48,75,27,75,3e,75,3a,79,32,78
23,7c,2d,7a,2e,7b,3a,78,31,7c,2a,7a,36,7a,2e,78
31,7c,29,7a,3c,76,3d,77,40,75,36,76,5d,64,57,73
5a,62,54,70,52,68,52,73,58,6f,53,72,52,71,51,70
54,73,46,72,3b,74,42,74,3d,72,3a,74,4b,6e,5a,74
56,6d,4d,78,34,74,45,79,5d,6b,4d,74,53,74,37,76
35,7f,3d,7e,2f,7e,31,7b,31,7e,32,7a,38,7c,32,79
28,7e,29,7c,2b,7e,29,7c,2b,7d,48,7c,ffab,ff8f,ffce,ff8b
ffb8,ff9a,ffbf,ff93,ffd5,ff87,ffe2,ff84,ffde,ff89,ffd3,ff85,ffd5,ff8c,ffd2,ff85
ffde,ff8a,ffc0,ff85,ffbe,ff89,69,ff87,2a,7f,27,7c,22,7e,24,7e
27,7d,20,7d,1f,7e,1f,7d,21,7c,25,7a,24,7d,45,79
3b,7f,23,7a,3c,75,4c,75,3e,79,3b,77,38,7c,39,78
6b,7e,7f,7e,5b,75,ff97,7d,70,6a,63,79,53,69,68,74
65,61,62,70,5f,61,5f,70,4a,64,53,72,66,5e,7e,70
7c,62,ff82,6d,7e,69,ff80,6d,7b,68,76,6c,6f,69,6b,6e
56,6a,4d,76,37,6b,5b,76,45,68,ff8a,76,ff81,6b,ff82,68
2c,77,31,78,44,71,3a,74,31,78,35,77,2c,79,36,78
28,7b,2c,7a,2c,7c,32,79,26,7d,28,7c,23,7b,2c,7c
37,7a,2a,7a,24,7b,24,7b,5a,67,56,72,48,71,32,74
3e,75,45,73,2c,7a,2f,79,35,79,28,78,35,7a,2c,7a
1d,7e,1e,7d,26,7e,23,7b,1a,7f,1d,7e,33,78,38,78
28,79,2e,7b,2a,7b,25,7c,27,77,2b,79,46,6d,40,76
3a,74,28,75,22,78,37,7a,3f,74,40,72,41,75,2c,75
2f,7b,36,79,38,7a,29,77,23,7e,23,7c,20,7e,27,7c
24,7f,24,7d,22,7a,32,7b,36,6f,3b,74,3f,6e,42,75
3a,70,3e,75,45,6c,41,70,4b,71,52,74,4e,6d,48,70
53,76,49,74,56,75,49,75,53,77,4d,77,60,68,5f,70
51,68,64,71,61,70,3a,79,46,7b,45,7b,2f,7e,2c,7b
27,7e,2d,7d,2e,7e,2d,7c,2e,7e,31,7b,31,7f,32,7a
2e,7f,2b,7b,28,79,55,79,66,ff84,ffa9,ff82,ffad,ffa4,ffa5,ff9e
ffaa,ffa4,ffad,ffa1,ffc8,ff8f,ffd9,ff88,ffdf,ff92,ffad,ff8c,ff9e,ff9f,ffc4,ff99
ffd4,ff8e,ffc9,ff85,ffb5,ff9f,67,ff93,26,ff80,25,7e,22,7f,20,7d
1f,7f,21,7e,21,7f,22,7e,21,7e,24,7d,26,7f,25,7d
25,7f,24,7c,25,7e,25,7d,38,ff83,40,7f,2b,ff8f,ffab,ff88
ffda,ff87,ffdc,ff84,ffd8,ff8c,ffc1,ff88,ffc1,ff98,ffb4,ff93,ffc5,ff91,ffd7,ff89
ffc1,ff82,58,7d,3f,70,39,73,38,72,35,77,34,76,3b,79
3e,6f,3e,75,3e,6e,40,73,43,6c,46,72,49,68,4c,6e
47,6c,53,6e,55,64,5f,72,67,69,ff85,7d,4d,68,3b,74
56,74,4e,6f,46,77,33,74,34,77,2e,77,36,79,2a,77
2a,7c,26,7a,2a,7e,21,7c,23,7c,26,7c,45,70,57,73
5a,69,59,6c,4c,6b,65,73,65,60,5e,74,3f,74,26,75
26,7c,21,7b,23,7d,27,7c,28,7b,1c,7a,1c,7e,1d,7d
19,7f,18,7e,18,7f,18,7f,21,7d,1e,7d,2f,71,41,77
3a,6f,30,75,44,6d,44,76,3d,7a,20,7a,23,7b,2f,7b
34,71,4c,78,2f,7a,34,78,25,7c,29,7a,2c,7c,33,79
35,76,3c,73,40,78,33,75,24,7f,20,7e,29,7f,1f,7e
30,78,40,7a,3c,6c,53,71,4b,73,31,73,3f,74,40,74
40,75,33,79,4c,69,51,71,4e,6b,57,6f,4f,74,45,70
3b,76,43,76,55,75,5e,7b,64,6f,60,75,4d,6f,49,73
46,71,54,72,54,75,37,75,3e,79,5a,76,48,7c,3f,75
2f,7e,39,7c,3c,7a,43,7a,34,7f,2e,7b,32,ff81,32,7a
2e,ff81,31,7c,32,ff81,40,7d,ff82,ff95,ffa5,ff91,ff99,ffa9,ff9c,ffaa
ffa8,ffa2,ffa6,ffa5,ffaf,ff9b,ffc6,ff95,ffd2,ff8e,ffc3,ff85,ffba,ff9a,ffba,ff90
ffb4,ffa2,ffa5,ff97,ff8f,ff98,41,ff94,2a,7e,28,7d,26,7e,24,7d
23,7e,21,7d,21,7f,20,7e,21,7e,21,7d,26,7f,23,7e
24,7f,2a,7d,33,ff81,21,7d,28,ff80,27,7e,65,ff90,ffd1,ff8e
ffad,ff9d,ffb7,ff97,ffae,ff9f,ffb4,ff9f,ffc4,ff97,ffa8,ff99,ffac,ff9d,ffc9,ff95
ffa0,ff8f,2b,ff85,25,7d,3e,7c,41,6f,39,75,36,75,3d,78
2a,7a,28,7b,37,74,4f,77,51,69,4f,71,42,6a,6a,72
6a,6c,63,6c,62,69,70,70,73,60,6f,6e,70,64,5e,70
2c,7d,33,77,27,7e,1c,7c,1e,7e,24,7c,26,7e,25,7c
21,7d,24,7b,25,7b,33,79,46,6b,5e,72,50,69,51,6b
4b,69,54,6e,5b,69,53,6b,57,69,53,70,44,6f,2f,76
28,7d,21,7c,27,7e,23,7c,1e,7e,1e,7d,1c,7e,1a,7e
25,7d,26,7d,22,7e,1f,7d,23,7c,29,7c,2d,76,30,79
28,79,1c,79,1e,79,2a,7c,2c,7c,19,7c,1d,7e,25,7c
27,7b,2f,7b,3a,7a,31,79,2d,7c,31,79,2f,78,37,78
3d,76,34,76,37,7e,25,7e,28,7c,2e,7c,2b,7c,44,79
3e,74,38,75,45,6f,49,71,3c,77,2e,77,34,73,4b,75
3e,77,3d,78,40,6d,4f,74,43,72,49,73,3f,75,43,73
3e,73,4b,74,43,7b,56,7c,ff9d,ff93,ffb4,ff92,ffcd,ff8c,ffdb,ff8a
ffaa,ff80,4a,7b,4e,7c,5a,77,58,74,4f,76,5f,71,6d,77
63,7a,4d,77,64,6d,54,75,3d,7e,34,78,34,7f,4b,78
3b,ff82,39,79,36,ff83,3d,7b,ff93,ffa4,ff95,ff9e,ff9a,ffa2,ffac,ffa8
ffae,ffa1,ffa2,ffa3,ffa4,ffa1,ffbb,ff9c,ffd2,ff8c,ffd9,ff83,ffb5,ff9f,ffa6,ff96
ff95,ffa6,ff8d,ffa7,72,ff84,56,ff85,4a,78,36,7a,2e,7e,29,7c
28,7e,28,7d,23,7e,23,7d,26,7f,22,7e,23,7e,25,7d
